company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Product Manager,310000,"Seattle, WA",8.0,0.0,155000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,287000,"Seattle, WA",12.0,1.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,218000,"Seattle, WA",10.0,0.0,150000.0,61000.0,0,0,0,0,0,False
Amazon,Software Engineer,300000,"Seattle, WA",12.0,12.0,158000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,430000,"Seattle, WA",12.0,12.0,220000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,205000,"Seattle, WA",12.0,7.0,138000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"Dublin, DN, Ireland",9.0,2.0,93000.0,1000.0,0,0,0,0,0,False
Amazon,Software Engineer,161000,"Seattle, WA",7.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"San Francisco, CA",12.0,1.0,160000.0,150000.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,298000,"Seattle, WA",12.0,1.25,160000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,170000,"Seattle, WA",9.0,2.0,123000.0,1000.0,0,0,0,0,0,False
Amazon,Product Manager,270000,"Seattle, WA",19.0,3.0,150000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,195000,"Seattle, WA",9.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,270000,"Seattle, WA",6.0,2.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,132000,"Seattle, WA",0.5,0.5,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,120000,"Seattle, WA",3.0,3.0,72000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,325000,"Seattle, WA",6.0,4.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,188000,"Seattle, WA",4.0,4.0,124000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,172000,"Seattle, WA",2.0,2.0,132000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,140000,"Sunnyvale, CA",1.0,1.0,101000.0,33000.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"Seattle, WA",9.0,1.0,150000.0,40000.0,0,0,0,0,0,False
Amazon,Software Engineer,183000,"Seattle, WA",11.0,6.5,137500.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,285000,"Seattle, WA",5.0,5.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,342000,"Seattle, WA",14.0,7.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,625000,"Seattle, WA",13.0,2.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,196000,"Seattle, WA",5.0,0.0,147000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,150000,"Seattle, WA",0.0,0.0,106000.0,46000.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"Seattle, WA",14.0,9.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,245000,"Seattle, WA",10.0,0.0,155000.0,80000.0,0,0,0,0,0,False
Amazon,Software Engineer,212000,"Cambridge, EN, United Kingdom",11.0,3.0,132000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,156000,"Seattle, WA",0.0,0.0,112000.0,41000.0,0,0,0,0,0,False
Amazon,Software Engineer,148000,"Sunnyvale, CA",1.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,290000,"Seattle, WA",10.0,4.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,178000,"Seattle, WA",10.0,5.5,132000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,90000,"Bangalore, KA, India",8.0,8.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"San Francisco, CA",10.0,1.0,160000.0,35000.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,500000,"San Francisco, CA",15.0,2.0,170000.0,220000.0,0,0,0,0,0,False
Amazon,Software Engineer,295000,"Seattle, WA",12.0,4.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,500000,"Sunnyvale, CA",11.0,5.0,183000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,144000,"Seattle, WA",1.0,0.0,106000.0,35000.0,0,0,0,0,0,False
Amazon,Product Manager,225000,"Seattle, WA",6.5,3.5,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,320000,"Seattle, WA",7.0,7.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,145000,"Seattle, WA",1.0,0.25,106000.0,35500.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"New York, NY",0.0,0.0,125000.0,39000.0,0,0,0,0,0,False
Amazon,Software Engineer,350000,"Sunnyvale, CA",20.0,5.0,185000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Seattle, WA",4.0,4.0,131000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,245000,"Seattle, WA",8.0,1.5,140000.0,17000.0,0,0,0,0,0,False
Amazon,Product Manager,190000,"Seattle, WA",10.0,0.0,155000.0,73000.0,0,0,0,0,0,False
Amazon,Software Engineer,235000,"Palo Alto, CA",3.0,0.0,160000.0,120000.0,0,0,0,0,0,False
Amazon,Software Engineer,334000,"Seattle, WA",21.0,6.0,160000.0,1000.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"New York, NY",2.0,2.0,180000.0,90000.0,0,0,0,0,0,False
Amazon,Product Manager,244000,"Seattle, WA",9.0,2.5,145000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,400000,"Seattle, WA",15.0,1.5,155000.0,100000.0,0,0,0,0,0,False
Amazon,Software Engineer,450000,"Seattle, WA",15.0,13.0,150000.0,1000.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"Seattle, WA",5.0,2.0,135000.0,15000.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"Seattle, WA",7.0,1.0,120000.0,10000.0,0,0,0,0,0,False
Amazon,Software Engineer,191000,"Seattle, WA",3.8,3.8,134500.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,180000,"Seattle, WA",5.0,5.0,132000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,430000,"San Francisco, CA",20.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,350000,"Seattle, WA",6.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"Seattle, WA",15.0,3.0,125000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,246000,"Cambridge, EN, United Kingdom",13.0,8.0,109000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,350000,"Seattle, WA",12.0,1.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,218000,"Seattle, WA",7.0,4.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,165000,"New York, NY",0.0,0.0,123000.0,39000.0,0,0,0,0,0,False
