company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Amazon
Apple,Software Engineering Manager,372000,"Sunnyvale, CA",7.0,5.0,157000.0,35000.0,0,0,0,0,0,False
Apple,Software Engineer,50000,"London, EN, United Kingdom",2.0,2.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Cupertino, CA",3.0,2.0,140000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,120000,"Cupertino, CA",5.0,2.0,95000.0,8000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Cupertino, CA",7.0,0.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,150000,"Cupertino, CA",3.0,3.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,210000,"Cupertino, CA",3.0,2.0,130000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,430000,"Cupertino, CA",8.0,2.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,560000,"Cupertino, CA",8.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Product Manager,305000,"San Francisco, CA",7.0,1.0,180000.0,65000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,385000,"San Francisco, CA",7.0,1.0,215000.0,50000.0,0,0,0,0,0,False
Apple,Software Engineer,350000,"Cupertino, CA",5.0,2.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,500000,"Cupertino, CA",6.0,3.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,290000,"Cupertino, CA",14.0,3.0,170000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,560000,"Sunnyvale, CA",10.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,190000,"Sunnyvale, CA",0.0,0.0,120000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,259000,"Cupertino, CA",14.0,1.0,179000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Sunnyvale, CA",1.0,1.0,140000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,185000,"Cupertino, CA",2.0,1.5,120000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,150000,"Cupertino, CA",0.0,0.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,176000,"Cupertino, CA",3.0,1.0,126000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,275000,"Cupertino, CA",14.0,1.0,180000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Cupertino, CA",2.0,0.0,125000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,320000,"San Francisco, CA",14.0,7.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Cupertino, CA",8.0,4.0,135000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,230000,"Cupertino, CA",10.0,1.0,155000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,162000,"Sunnyvale, CA",0.0,0.0,117000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,151000,"Cupertino, CA",0.0,0.0,125000.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"San Francisco, CA",8.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,271000,"Cupertino, CA",12.0,3.0,168000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,152500,"Cupertino, CA",0.0,0.0,115000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,185000,"San Francisco, CA",0.0,0.0,115000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,495000,"Cupertino, CA",10.0,10.0,220000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,255000,"Cupertino, CA",3.0,3.0,130000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Cupertino, CA",10.0,0.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,270000,"Cupertino, CA",10.0,1.0,170000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Cupertino, CA",0.0,0.0,125000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,400000,"Cupertino, CA",10.0,5.0,180000.0,16000.0,0,0,0,0,0,False
Apple,Software Engineer,420000,"Sunnyvale, CA",5.0,1.0,220000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,379000,"Cupertino, CA",12.0,8.0,182000.0,27000.0,0,0,0,0,0,False
Apple,Software Engineer,580000,"Cupertino, CA",7.0,4.0,210000.0,70000.0,0,0,0,0,0,False
