company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College
Facebook,Software Engineer,168000,"Menlo Park, CA",1.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,190000,"Menlo Park, CA",1.0,1.0,140000.0,14000.0,0,0,0,0,0
Facebook,Software Engineer,600000,"Menlo Park, CA",10.0,1.0,215000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,690000,"Seattle, WA",11.5,4.0,200000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,220000,"London, EN, United Kingdom",20.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,360000,"Menlo Park, CA",2.5,2.5,175000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,450000,"Menlo Park, CA",7.0,3.0,190000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,155000,"Menlo Park, CA",0.0,0.0,107000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,430000,"Menlo Park, CA",6.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,200000,"Menlo Park, CA",1.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,410000,"Seattle, WA",8.0,2.0,188000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,440000,"Menlo Park, CA",10.0,1.0,200000.0,40000.0,0,0,0,0,0
Facebook,Software Engineering Manager,460000,"Dublin, DN, Ireland",19.0,1.0,140000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,320000,"San Francisco, CA",1.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineering Manager,520000,"Seattle, WA",9.0,0.0,210000.0,42000.0,0,0,0,0,0
Facebook,Product Manager,720000,"Menlo Park, CA",10.0,2.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,535000,"Menlo Park, CA",18.0,2.0,215000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,230000,"London, EN, United Kingdom",5.0,1.0,134000.0,27000.0,0,0,0,0,0
Facebook,Software Engineer,470000,"Menlo Park, CA",7.0,3.0,215000.0,0.0,0,0,0,0,0
Facebook,Product Manager,514000,"Menlo Park, CA",15.0,0.0,220000.0,44000.0,0,0,0,0,0
Facebook,Software Engineer,270000,"San Francisco, CA",3.5,0.0,160000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,209000,"Menlo Park, CA",8.0,0.0,140000.0,14000.0,0,0,0,0,0
Facebook,Software Engineer,511000,"New York, NY",10.0,5.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,310000,"Boston, MA",5.0,0.0,140000.0,14000.0,0,0,0,0,0
Facebook,Software Engineer,250000,"Menlo Park, CA",5.0,0.0,160000.0,1600.0,0,0,0,0,0
Facebook,Data Scientist,370000,"Seattle, WA",8.0,3.0,190000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,95000,"Singapore, SG, Singapore",4.0,0.0,78000.0,8000.0,0,0,0,0,0
Facebook,Software Engineer,165000,"Seattle, WA",3.0,1.0,165000.0,3000.0,0,0,0,0,0
Facebook,Data Scientist,225000,"Menlo Park, CA",11.0,6.0,155000.0,0.0,0,0,0,0,0
Facebook,Software Engineer,390000,"Seattle, WA",17.0,1.0,192000.0,29000.0,0,0,0,0,0
Facebook,Software Engineer,660000,"Menlo Park, CA",10.0,5.0,210000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,202500,"Menlo Park, CA",1.0,0.0,115000.0,50000.0,0,0,0,0,0
Facebook,Product Manager,650000,"Menlo Park, CA",13.0,6.5,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,257000,"Menlo Park, CA",4.0,1.0,161000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,420000,"Seattle, WA",8.0,2.0,192000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,385000,"Menlo Park, CA",15.0,5.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,239000,"Menlo Park, CA",4.0,0.0,140000.0,39000.0,0,0,1,0,0
Facebook,Software Engineer,650000,"Menlo Park, CA",7.0,5.0,210000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,251000,"New York, NY",6.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,250000,"Menlo Park, CA",2.0,2.0,152000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,243000,"Menlo Park, CA",0.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,250000,"San Francisco, CA",4.0,0.5,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,600000,"Menlo Park, CA",5.0,4.5,220000.0,44000.0,0,0,0,0,0
Facebook,Software Engineer,165000,"San Francisco, CA",1.0,0.0,110000.0,6000.0,0,0,0,0,0
Facebook,Software Engineer,176000,"Seattle, WA",0.0,0.0,110000.0,10000.0,0,0,0,0,0
Facebook,Software Engineer,722000,"San Jose, CA",8.0,8.0,258000.0,64000.0,0,0,0,0,0
Facebook,Software Engineer,451000,"Menlo Park, CA",25.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineering Manager,514000,"New York, NY",14.0,1.0,220000.0,44000.0,0,0,0,0,0
Facebook,Product Manager,210000,"Menlo Park, CA",5.0,1.0,145000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,240000,"Seattle, WA",3.0,0.0,150000.0,35000.0,0,0,0,0,0
Facebook,Software Engineer,172000,"Menlo Park, CA",0.0,0.0,110000.0,25000.0,0,0,0,0,0
Facebook,Software Engineer,260000,"Menlo Park, CA",2.0,2.0,144000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,265000,"Menlo Park, CA",0.0,0.0,150000.0,15000.0,0,0,0,0,0
Facebook,Product Manager,600000,"San Francisco, CA",12.0,4.0,0.0,0.0,0,0,0,0,0
Facebook,Product Manager,600000,"San Francisco, CA",12.0,4.0,0.0,0.0,0,0,0,0,0
Facebook,Data Scientist,200000,"Menlo Park, CA",5.0,0.25,150000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,165000,"Menlo Park, CA",0.0,0.0,115000.0,12000.0,0,0,0,0,0
Facebook,Software Engineer,166000,"Menlo Park, CA",0.0,0.0,115000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,172000,"Menlo Park, CA",0.0,0.0,127000.0,13000.0,0,0,0,0,0
Facebook,Software Engineer,238000,"Seattle, WA",1.0,1.0,148000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,210000,"Seattle, WA",2.0,2.0,142000.0,10000.0,0,0,0,0,0
Facebook,Data Scientist,240000,"Seattle, WA",10.0,1.0,171000.0,24000.0,0,0,0,0,0
Facebook,Software Engineer,161000,"Menlo Park, CA",0.0,0.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,220000,"Menlo Park, CA",5.0,1.5,150000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,362000,"Seattle, WA",10.0,1.0,194000.0,28000.0,0,0,0,0,0
Facebook,Software Engineer,225000,"Menlo Park, CA",3.0,2.0,150000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,577000,"Menlo Park, CA",6.0,3.0,187000.0,27000.0,0,0,0,0,0
Facebook,Product Manager,160000,"Seattle, WA",1.0,1.0,120000.0,10000.0,0,0,0,0,0
Facebook,Product Designer,250000,"Menlo Park, CA",2.0,2.0,140000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,251000,"Menlo Park, CA",3.0,1.0,160000.0,16000.0,0,0,0,0,0
Facebook,Product Manager,310000,"Seattle, WA",4.0,1.0,175000.0,25000.0,0,0,0,0,0
Facebook,Software Engineer,410000,"Menlo Park, CA",9.0,2.0,180000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,255000,"Menlo Park, CA",5.0,0.0,160000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,380000,"Menlo Park, CA",10.0,0.0,200000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,276000,"Seattle, WA",4.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,350000,"Menlo Park, CA",6.0,1.0,180000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,200000,"Menlo Park, CA",15.0,2.0,150000.0,0.0,0,0,0,0,0
Facebook,Software Engineer,265000,"New York, NY",3.0,0.0,150000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,265000,"New York, NY",3.0,0.0,150000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,160000,"San Francisco, CA",1.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,157000,"Seattle, WA",4.0,0.0,157000.0,0.0,0,0,0,0,0
Facebook,Software Engineer,250000,"Menlo Park, CA",1.0,1.0,115000.0,0.0,0,0,0,0,0
