company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College
Google,Software Engineer,300000,"Mountain View, CA",8.0,4.0,155000.0,33000.0,0,0,0,0,0
Google,Software Engineer,440000,"New York, NY",14.0,12.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,275000,"Mountain View, CA",4.0,0.0,160000.0,24000.0,0,0,0,0,0
Google,Software Engineer,158000,"Mountain View, CA",0.0,0.0,116000.0,17000.0,0,0,0,0,0
Google,Software Engineer,273000,"Sunnyvale, CA",1.0,1.0,131000.0,30000.0,0,0,0,0,0
Google,Software Engineer,268000,"Mountain View, CA",5.0,3.5,142000.0,26000.0,0,0,0,0,0
Google,Software Engineer,166000,"Mountain View, CA",0.0,0.0,116000.0,17500.0,0,0,0,0,0
Google,Software Engineer,110000,"New York, NY",0.0,0.0,95000.0,5000.0,0,0,0,0,0
Google,Software Engineer,179000,"Mountain View, CA",2.0,2.0,125000.0,25000.0,0,0,0,0,0
Google,Software Engineer,354000,"Sunnyvale, CA",16.0,3.0,180000.0,35000.0,0,0,0,0,0
Google,Software Engineering Manager,640000,"San Jose, CA",18.0,4.0,250000.0,90000.0,0,0,0,0,0
Google,Software Engineer,1120000,"New York, NY",10.0,7.0,252000.0,78000.0,0,0,0,0,0
Google,Software Engineer,320000,"Mountain View, CA",3.0,3.0,150000.0,30000.0,0,0,0,0,0
Google,Product Manager,350000,"San Francisco, CA",5.0,2.0,177000.0,26000.0,0,0,0,0,0
Google,Software Engineer,217000,"New York, NY",3.0,0.0,140000.0,21000.0,0,0,0,0,0
Google,Software Engineer,290000,"Seattle, WA",5.0,3.0,0.0,0.0,0,0,0,0,0
Google,Software Engineering Manager,400000,"Dublin, DN, Ireland",20.0,11.0,120000.0,30000.0,0,0,0,0,0
Google,Software Engineer,260000,"Dublin, DN, Ireland",17.0,9.0,120000.0,25000.0,0,0,0,0,0
Google,Software Engineer,395000,"Mountain View, CA",7.0,1.0,190000.0,60000.0,0,0,0,0,0
Google,Software Engineer,230000,"Seattle, WA",4.0,2.0,130000.0,28000.0,0,0,0,0,0
Google,Software Engineer,650000,"San Jose, CA",10.0,3.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,320000,"Mountain View, CA",6.75,0.0,170000.0,26000.0,0,0,0,0,0
Google,Software Engineer,480000,"Mountain View, CA",6.0,2.0,170000.0,30000.0,0,0,0,0,0
Google,Software Engineer,260000,"Pittsburgh, PA",6.0,6.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,640000,"Mountain View, CA",11.0,4.0,210000.0,50000.0,0,0,0,0,0
Google,Software Engineer,225000,"New York, NY",4.0,2.0,130000.0,25000.0,0,0,0,0,0
Google,Software Engineer,230000,"Seattle, WA",3.5,2.5,124000.0,26600.0,0,0,0,0,0
Google,Software Engineering Manager,749000,"Mountain View, CA",28.0,3.5,247000.0,70000.0,0,0,0,0,0
Google,Software Engineer,143000,"Cambridge, EN, United Kingdom",0.0,0.0,105000.0,16000.0,0,0,0,0,0
Google,Software Engineer,315000,"San Francisco, CA",12.0,1.5,191000.0,60000.0,0,0,0,0,0
Google,Software Engineer,199000,"San Francisco, CA",1.0,0.0,135000.0,20000.0,0,0,0,0,0
Google,Software Engineer,330000,"Kirkland, WA",20.0,6.0,160000.0,30000.0,0,0,0,0,0
Google,Software Engineer,660000,"San Jose, CA",10.0,3.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,423000,"Mountain View, CA",9.0,0.0,180000.0,15000.0,0,0,0,0,0
Google,Software Engineer,227000,"New York, NY",4.0,2.0,137000.0,24500.0,0,0,0,0,0
Google,Product Manager,900000,"Mountain View, CA",18.0,2.0,210000.0,90000.0,0,0,0,0,0
Google,Software Engineer,400000,"Mountain View, CA",7.0,7.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,180000,"London, EN, United Kingdom",3.0,3.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,196000,"Mountain View, CA",1.0,3.0,118000.0,18000.0,0,0,0,0,0
Google,Product Manager,690000,"Seattle, WA",12.0,7.0,225000.0,75000.0,0,0,0,0,0
Google,Software Engineer,208000,"Mountain View, CA",0.0,0.0,116000.0,17000.0,0,0,0,0,0
Google,Software Engineer,173000,"Mountain View, CA",1.0,0.0,116000.0,32000.0,0,0,0,0,0
Google,Software Engineer,310000,"Sunnyvale, CA",16.0,1.0,155000.0,15000.0,0,0,0,0,0
Google,Software Engineer,138000,"Seattle, WA",0.0,0.0,94000.0,14000.0,0,0,0,0,0
Google,Software Engineer,251000,"Zurich, ZH, Switzerland",8.0,6.0,159000.0,32000.0,0,0,0,0,0
Google,Software Engineer,236000,"Seattle, WA",6.0,0.0,133000.0,20000.0,0,0,0,0,0
Google,Software Engineer,500000,"Seattle, WA",25.0,6.0,220000.0,60000.0,0,0,0,0,0
Google,Product Manager,475000,"Mountain View, CA",10.0,2.0,196000.0,40000.0,0,0,0,0,0
Google,Software Engineer,257000,"New York, NY",7.0,1.0,156000.0,23000.0,0,0,0,0,0
Google,Product Manager,380000,"Seattle, WA",12.0,3.0,185000.0,0.0,0,0,0,0,0
Google,Software Engineer,300000,"Sunnyvale, CA",7.0,0.0,155000.0,23000.0,0,0,0,0,0
Google,Data Scientist,690000,"Kirkland, WA",10.0,0.0,240000.0,72000.0,0,0,0,0,0
Google,Software Engineer,222000,"Seattle, WA",2.0,2.0,122000.0,38000.0,0,0,0,0,0
Google,Software Engineer,195000,"Mountain View, CA",5.0,5.0,140000.0,20000.0,0,0,0,0,0
Google,Software Engineer,505000,"Mountain View, CA",11.0,2.0,220000.0,265000.0,0,0,0,0,0
Google,Software Engineer,284000,"Sunnyvale, CA",3.0,3.0,160000.0,24000.0,0,0,0,0,0
Google,Software Engineer,185000,"Seattle, WA",1.5,0.0,118000.0,17000.0,0,0,0,0,0
Google,Software Engineer,237000,"Mountain View, CA",1.0,1.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,400000,"Mountain View, CA",6.0,3.0,160000.0,35000.0,0,0,0,0,0
Google,Software Engineer,222000,"Mountain View, CA",2.0,0.0,140000.0,21000.0,0,0,0,0,0
Google,Software Engineer,283000,"Sunnyvale, CA",5.0,1.0,170000.0,25000.0,0,0,0,0,0
Google,Product Manager,230000,"Mountain View, CA",8.0,1.0,140000.0,25000.0,0,0,0,0,0
Google,Software Engineer,326000,"Seattle, WA",10.0,4.0,150000.0,32000.0,0,0,0,0,0
Google,Software Engineer,240000,"Mountain View, CA",2.5,2.5,122000.0,20000.0,0,0,0,0,0
Google,Software Engineer,218000,"Kirkland, WA",4.0,0.0,135000.0,13500.0,0,0,0,0,0
Google,Software Engineer,191000,"New York, NY",4.0,0.5,136000.0,21000.0,0,0,0,0,0
Google,Software Engineer,500000,"Mountain View, CA",6.0,3.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,530000,"Seattle, WA",12.0,3.0,190000.0,42000.0,0,0,0,0,0
Google,Software Engineer,255000,"Mountain View, CA",1.0,0.0,145000.0,20000.0,0,0,0,0,0
Google,Software Engineer,325000,"Mountain View, CA",3.0,3.0,166000.0,0.0,0,0,0,0,0
Google,Product Manager,350000,"Mountain View, CA",6.0,0.0,165000.0,25000.0,0,0,0,0,0
Google,Software Engineer,470000,"Mountain View, CA",30.0,7.0,0.0,0.0,0,0,0,0,0
Google,Product Manager,370000,"Palo Alto, CA",10.0,6.0,155000.0,35000.0,0,0,0,0,0
Google,Software Engineer,172000,"Kirkland, WA",1.0,0.0,118000.0,18000.0,0,0,0,0,0
Google,Software Engineer,250000,"Los Angeles, CA",3.0,3.0,138000.0,28000.0,0,0,0,0,0
Google,Solution Architect,249000,"Dallas, TX",20.0,0.0,170000.0,34000.0,0,0,0,0,0
Google,Software Engineer,350000,"New York, NY",5.0,5.0,180000.0,30000.0,0,0,0,0,0
Google,Software Engineer,374000,"Mountain View, CA",8.0,1.0,164000.0,50000.0,0,0,0,0,0
Google,Product Manager,300000,"Mountain View, CA",3.0,2.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,272000,"New York, NY",5.0,0.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,180000,"Sunnyvale, CA",9.0,0.0,137000.0,22000.0,0,0,0,0,0
Google,Product Manager,320000,"Mountain View, CA",10.0,2.0,200000.0,60000.0,0,0,0,0,0
Google,Product Manager,350000,"Mountain View, CA",6.0,0.0,165000.0,25000.0,0,0,0,0,0
Google,Software Engineer,253000,"Seattle, WA",15.0,4.0,150000.0,27000.0,0,0,0,0,0
Google,Software Engineering Manager,500000,"San Francisco, CA",12.0,1.0,210000.0,4000.0,0,0,0,0,0
Google,Technical Program Manager,269000,"Mountain View, CA",15.0,2.0,151000.0,25000.0,0,0,0,0,0
Google,Software Engineer,246000,"Sunnyvale, CA",20.0,0.0,146000.0,25000.0,0,0,0,0,0
Google,Product Manager,500000,"Seattle, WA",16.0,2.0,212000.0,54000.0,0,0,0,0,0
Google,Software Engineer,285000,"Boulder, CO",5.0,5.0,0.0,0.0,0,0,0,0,0
Google,Software Engineering Manager,995000,"Mountain View, CA",10.0,5.0,500000.0,50000.0,0,0,0,0,0
Google,Product Manager,600000,"Mountain View, CA",12.0,4.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,326000,"San Bruno, CA",5.0,1.0,170000.0,26000.0,0,0,0,0,0
Google,Product Manager,230000,"Mountain View, CA",8.0,0.0,140000.0,20000.0,0,0,0,0,0
Google,Software Engineer,171000,"New York, NY",0.0,0.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,203000,"Mountain View, CA",4.0,4.0,122000.0,17000.0,0,0,0,0,0
Google,Solution Architect,600000,"Seattle, WA",20.0,2.0,0.0,0.0,0,0,0,0,0
Google,Product Manager,204000,"Mountain View, CA",12.0,8.0,204000.0,36000.0,0,0,0,0,0
Google,Software Engineer,250000,"Sunnyvale, CA",7.0,3.0,133000.0,94000.0,0,0,0,0,0
Google,Software Engineer,231000,"Sunnyvale, CA",3.0,2.0,140000.0,25000.0,0,0,0,0,0
Google,Software Engineer,248000,"Mountain View, CA",5.0,5.0,148000.0,30000.0,0,0,0,0,0
Google,Software Engineer,218000,"London, EN, United Kingdom",9.0,8.0,129000.0,22000.0,0,0,0,0,0
Google,Software Engineer,81000,"Warsaw, MZ, Poland",5.0,2.0,45000.0,12000.0,0,0,0,0,0
Google,Software Engineer,224000,"New York, NY",2.0,0.0,135000.0,20000.0,0,0,0,0,0
Google,Software Engineer,192000,"Mountain View, CA",0.0,2.0,127000.0,20000.0,0,0,0,0,0
Google,Software Engineer,640000,"San Francisco, CA",20.0,5.0,190000.0,40000.0,0,0,0,0,0
Google,Software Engineer,198000,"Mountain View, CA",0.0,1.0,120000.0,21000.0,0,0,0,0,0
Google,Software Engineer,300000,"Mountain View, CA",3.0,3.0,143000.0,26000.0,0,0,0,0,0
Google,Software Engineer,183000,"San Francisco, CA",1.0,0.0,120000.0,18000.0,0,0,0,0,0
Google,Software Engineer,440000,"Mountain View, CA",10.0,7.0,180000.0,45000.0,0,0,0,0,0
Google,Software Engineer,298000,"Mountain View, CA",18.0,5.0,161000.0,21000.0,0,0,0,0,0
Google,Software Engineer,267000,"Mountain View, CA",4.0,0.0,153000.0,23000.0,0,0,0,0,0
Google,Product Designer,270000,"Mountain View, CA",5.0,1.0,0.0,0.0,0,0,0,0,0
Google,Software Engineering Manager,445000,"Dublin, DN, Ireland",15.0,15.0,165000.0,33000.0,0,0,0,0,0
Google,Software Engineer,340000,"Mountain View, CA",8.0,1.0,185000.0,35000.0,0,0,0,0,0
Google,Data Scientist,700000,"Seattle, WA",6.0,2.0,221000.0,44000.0,0,0,0,0,0
Google,Software Engineer,175000,"San Bruno, CA",2.0,0.0,125000.0,25000.0,0,0,0,0,0
Google,Software Engineer,255000,"Sunnyvale, CA",5.0,0.0,160000.0,184000.0,0,0,0,0,0
Google,Software Engineer,505000,"Sunnyvale, CA",20.0,6.0,223000.0,52000.0,0,0,0,0,0
Google,Software Engineer,143000,"Seattle, WA",0.0,0.0,105000.0,15000.0,0,0,0,0,0
Google,Product Manager,200000,"Mountain View, CA",5.0,0.0,130000.0,27000.0,0,0,0,0,0
Google,Software Engineer,280000,"Mountain View, CA",10.0,3.0,130000.0,50000.0,0,0,0,0,0
Google,Software Engineer,355000,"Mountain View, CA",16.0,4.0,190000.0,35000.0,0,0,0,0,0
Google,Software Engineer,355000,"Mountain View, CA",16.0,4.0,190000.0,35000.0,0,0,0,0,0
Google,Product Designer,247000,"Mountain View, CA",6.0,2.0,0.0,0.0,0,0,0,0,0
Google,Software Engineer,190000,"Seattle, WA",1.0,0.0,120000.0,20000.0,0,0,0,0,0
Google,Software Engineer,193000,"New York, NY",2.0,2.0,120000.0,13000.0,0,0,0,0,0
Google,Software Engineer,255000,"Sunnyvale, CA",6.0,3.0,142000.0,0.0,0,0,0,0,0
Google,Software Engineer,255000,"Sunnyvale, CA",6.0,3.0,142000.0,0.0,0,0,0,0,0
Google,Software Engineer,261000,"San Francisco, CA",6.0,6.0,158000.0,28000.0,0,0,0,0,0
Google,Software Engineer,276000,"Mountain View, CA",10.0,2.0,159000.0,34000.0,0,0,0,0,0
Google,Software Engineer,250000,"Boulder, CO",5.0,5.0,125000.0,25000.0,0,0,0,0,0
Google,Product Manager,230000,"Mountain View, CA",14.0,5.0,0.0,0.0,0,0,0,0,0
Google,Product Manager,163000,"Mountain View, CA",0.0,0.0,120000.0,18000.0,0,0,0,0,0
Google,Software Engineer,238000,"Mountain View, CA",8.0,0.0,135000.0,20000.0,0,0,0,0,0
